Temperature,Humidity,Wind Speed,Rainfall,Vegetation Index,Drought Index,Fire Occurrence
24.48097412,78.21658986,4.341807043999999,0.0,12,0.0179233876865947,1
7.553433476,70.84,2.709763948,59.8,15,0.1843549518587874,1
4.971929825,75.53162853,3.3644994839999995,168.8,16,0.1945435134724886,1
16.27596717,44.77842907,4.054982415,10.4,0,0.4874474548506364,1
14.87734096,79.89667897,2.000214439,26.0,12,0.1489038254041168,1
16.8519389,72.89947781,1.331257344,28.4,12,0.2418935054935229,1
26.65524061,68.31902246,1.768073879,6.6,15,0.2246294059698352,1
4.600950119,64.60650888,6.380760095,12.3,15,0.2916826266795891,1
8.410982659,71.26086957,1.98867052,76.3,12,0.1468883522426762,1
0.0,0.0,0.0,0.0,16,0.1643146743828418,1
26.38449292,79.940012,1.771639151,62.8,12,0.2374312087213936,1
3.523045267,38.71270718,6.245931034,10.0,16,0.3303233823206644,1
0.0,0.0,0.0,0.0,0,0.2224276660513469,1
2.207439024,51.06973684,2.96809816,49.0,15,0.1113427085420808,1
9.156936011,62.30432645,4.251751518,0.0,16,0.2628850259367814,1
13.46861925,57.99720670000001,2.038268156,0.0,12,0.1994853643481215,1
25.15406162,70.60795455,4.524929972,0.0,12,0.0205315269625678,1
3.490697674,76.09139785,1.34744186,0.0,15,0.2272697343448786,1
14.40319444,60.91944444,2.856944444,133.0,16,0.128446274916022,1
5.181472957,68.640553,3.011635945,52.9,4,0.0940479406833727,1
24.56617502,73.71797885,3.414215202,93.7,12,0.1915116237333645,1
-0.8916349809999999,77.57501206,5.800666667000001,21.2,15,0.2923027163909939,1
2.225675676,58.89864865,2.149324324,0.0,16,0.1586998880293286,1
31.0192783,50.60751359,3.81606525,1.8,16,0.257938123566078,1
20.07947977,67.55178268,3.65984,0.0,12,0.1624159398172477,1
31.05585937,28.78320313,4.026367187,2.5,16,0.3479907070469388,1
15.44904863,67.12380952,3.486046512,109.4,12,0.133388985338789,1
14.47231481,0.0,0.0,0.0,12,0.171289948524669,1
14.144081,75.37984496,1.264719626,0.0,12,0.141766231920617,1
28.130937100000004,58.74293059,2.7727856230000003,38.6,12,0.2651199680418281,1
8.9048,56.23867069,4.18489426,54.5,0,0.127991882782634,1
29.70906892,66.83353733,2.786780906,0.0,12,0.2494810224064221,1
4.751851852,54.65678555,3.919036591,11.6,15,0.2332417308503147,1
